AAPL
MSFT
GOOG
AMZN
TSLA
BRK-B
UNH
JNJ
META
V
NVDA
XOM
PG
WMT
JPM
MA
LLY
PFE
HD
CVX
KO
ABBV
BAC
PEP
MRK
COST
TMO
VZ
AVGO
ORCL
ABT
DHR
MCD
ADBE
CSCO
CMCSA
DIS
CRM
TMUS
NKE
UPS
BMY
NEE
INTC
WFC
T
QCOM
PM
TXN
RTX
MS
UNP
AMGN
AMD
IBM
CVS
SCHW
SPGI
AMT
HON
ANTM
LOW
INTU
LMT
COP
AXP
GS
NOW
CAT
BLK
DE
EL
C
SBUX
PLD
ADP
CI
PYPL
MDLZ
ZTS
NFLX
BA
DUK
AMAT
GILD
MMC
CHTR
ADI
SYK
SO
MO
VRTX
CME
ISRG
NOC
CCI
MMM
BKNG
PGR
BX
